2026-05-05T21:55:02.4634614-05:00	1/120	FAIL	Scenario suite exited with 1. See 'C:\LLMRPG\LoreLegacyMonsters\Artifacts\LlmConvo\unity-scenario-suite.log'
2026-05-05T23:50:23.7811402-05:00	29/120	PASS	llm=0	eval=0
2026-05-05T23:54:18.1132722-05:00	30/120	PASS	llm=0	eval=0
2026-05-05T23:58:21.4617648-05:00	31/120	PASS	llm=0	eval=0
2026-05-06T00:02:38.0978713-05:00	32/120	PASS	llm=0	eval=0
2026-05-06T00:06:47.4896776-05:00	33/120	PASS	llm=0	eval=0
2026-05-06T00:10:53.9033684-05:00	34/120	PASS	llm=0	eval=0
2026-05-06T00:15:12.3478300-05:00	35/120	PASS	llm=0	eval=0
2026-05-06T00:20:10.1758148-05:00	36/120	PASS	llm=0	eval=0
2026-05-06T00:24:25.5551342-05:00	37/120	PASS	llm=0	eval=0
2026-05-06T00:29:01.9996043-05:00	38/120	PASS	llm=0	eval=0
2026-05-06T00:33:26.5151210-05:00	39/120	PASS	llm=0	eval=0
2026-05-06T00:37:14.5656241-05:00	40/120	PASS	llm=0	eval=0
2026-05-06T00:41:08.7344770-05:00	41/120	PASS	llm=0	eval=0
2026-05-06T00:45:42.1765030-05:00	42/120	PASS	llm=0	eval=0
2026-05-06T00:49:54.4160649-05:00	43/120	PASS	llm=0	eval=0
2026-05-06T00:54:09.7599423-05:00	44/120	PASS	llm=0	eval=0
2026-05-06T00:58:16.1168093-05:00	45/120	PASS	llm=0	eval=0
2026-05-06T01:02:16.3871975-05:00	46/120	PASS	llm=0	eval=0
2026-05-06T01:06:46.9856774-05:00	47/120	PASS	llm=0	eval=0
2026-05-06T01:10:59.1011927-05:00	48/120	PASS	llm=0	eval=0
2026-05-06T01:15:05.4155140-05:00	49/120	PASS	llm=0	eval=0
2026-05-06T01:19:17.8551208-05:00	50/120	PASS	llm=0	eval=0
2026-05-06T01:23:21.2566207-05:00	51/120	PASS	llm=0	eval=0
2026-05-06T01:27:30.6017163-05:00	52/120	PASS	llm=0	eval=0
2026-05-06T01:31:36.9144310-05:00	53/120	PASS	llm=0	eval=0
2026-05-06T01:35:43.2825890-05:00	54/120	PASS	llm=0	eval=0
2026-05-06T01:40:13.8000089-05:00	55/120	PASS	llm=0	eval=0
2026-05-06T01:44:23.1697933-05:00	56/120	PASS	llm=0	eval=0
2026-05-06T01:48:53.6389790-05:00	57/120	PASS	llm=0	eval=0
2026-05-06T01:53:05.9079277-05:00	58/120	PASS	llm=0	eval=0
2026-05-06T01:56:57.0908623-05:00	59/120	PASS	llm=0	eval=0
2026-05-06T02:01:00.3567384-05:00	60/120	PASS	llm=0	eval=0
2026-05-06T02:05:09.5658670-05:00	61/120	PASS	llm=0	eval=0
2026-05-06T02:09:37.1613559-05:00	62/120	PASS	llm=0	eval=0
2026-05-06T02:13:34.5267802-05:00	63/120	PASS	llm=0	eval=0
2026-05-06T02:17:37.8110152-05:00	64/120	PASS	llm=0	eval=0
2026-05-06T02:21:35.1250120-05:00	65/120	PASS	llm=0	eval=0
2026-05-06T02:25:47.5146418-05:00	66/120	PASS	llm=0	eval=0
2026-05-06T02:29:44.7178774-05:00	67/120	PASS	llm=0	eval=0
2026-05-06T02:33:45.0041780-05:00	68/120	PASS	llm=0	eval=0
2026-05-06T02:37:45.2896539-05:00	69/120	PASS	llm=0	eval=0
2026-05-06T02:42:09.7837311-05:00	70/120	PASS	llm=0	eval=0
2026-05-06T02:46:16.1131139-05:00	71/120	PASS	llm=0	eval=0
2026-05-06T02:50:13.2827497-05:00	72/120	PASS	llm=0	eval=0
2026-05-06T02:53:55.2849234-05:00	73/120	PASS	llm=0	eval=0
2026-05-06T02:57:43.4161860-05:00	74/120	PASS	llm=0	eval=0
2026-05-06T03:02:01.8908766-05:00	75/120	PASS	llm=0	eval=0
2026-05-06T03:06:02.1303920-05:00	76/120	PASS	llm=0	eval=0
2026-05-06T03:10:02.4927992-05:00	77/120	PASS	llm=0	eval=0
2026-05-06T03:14:02.8513762-05:00	78/120	FAIL	Scenario suite exited with 1. See 'C:\LLMRPG\LoreLegacyMonsters\Artifacts\LlmConvo\unity-scenario-suite.log'
2026-05-06T03:18:18.3300882-05:00	79/120	PASS	llm=0	eval=0
2026-05-06T03:22:42.7397973-05:00	80/120	PASS	llm=0	eval=0
2026-05-06T03:27:07.1516862-05:00	81/120	PASS	llm=0	eval=0
2026-05-06T03:31:10.4446997-05:00	82/120	PASS	llm=0	eval=0
2026-05-06T03:35:16.8021954-05:00	83/120	PASS	llm=0	eval=0
2026-05-06T03:39:01.9120737-05:00	84/120	PASS	llm=0	eval=0
2026-05-06T03:43:20.2813064-05:00	85/120	PASS	llm=0	eval=0
2026-05-06T03:47:20.6369754-05:00	86/120	PASS	llm=0	eval=0
2026-05-06T03:51:48.1250650-05:00	87/120	PASS	llm=0	eval=0
2026-05-06T03:56:06.4398337-05:00	88/120	PASS	llm=0	eval=0
2026-05-06T04:00:09.5687994-05:00	89/120	PASS	llm=0	eval=0
2026-05-06T04:04:06.8339476-05:00	90/120	PASS	llm=0	eval=0
2026-05-06T04:08:10.0874180-05:00	91/120	PASS	llm=0	eval=0
2026-05-06T04:12:19.4508010-05:00	92/120	PASS	llm=0	eval=0
2026-05-06T04:16:16.5902486-05:00	93/120	PASS	llm=0	eval=0
2026-05-06T04:20:22.9662089-05:00	94/120	PASS	llm=0	eval=0
2026-05-06T04:24:47.5095273-05:00	95/120	PASS	llm=0	eval=0
2026-05-06T04:29:15.0282951-05:00	96/120	PASS	llm=0	eval=0
2026-05-06T04:33:27.3250893-05:00	97/120	PASS	llm=0	eval=0
2026-05-06T04:37:51.7120095-05:00	98/120	PASS	llm=0	eval=0
2026-05-06T04:42:07.1557394-05:00	99/120	PASS	llm=0	eval=0
2026-05-06T04:46:19.5950944-05:00	100/120	PASS	llm=0	eval=0
2026-05-06T04:50:40.9513325-05:00	101/120	PASS	llm=0	eval=0
2026-05-06T04:54:41.2386980-05:00	102/120	PASS	llm=0	eval=0
2026-05-06T04:59:02.6842555-05:00	103/120	PASS	llm=0	eval=0
2026-05-06T05:03:02.9148754-05:00	104/120	PASS	llm=0	eval=0
2026-05-06T05:07:24.4309402-05:00	105/120	PASS	llm=0	eval=0
2026-05-06T05:11:36.7975215-05:00	106/120	PASS	llm=0	eval=0
2026-05-06T05:15:49.2050784-05:00	107/120	PASS	llm=0	eval=0
2026-05-06T05:19:58.5330150-05:00	108/120	PASS	llm=0	eval=0
2026-05-06T05:24:10.9027708-05:00	109/120	PASS	llm=0	eval=0
2026-05-06T05:28:05.1874921-05:00	110/120	PASS	llm=0	eval=0
2026-05-06T05:32:02.4617832-05:00	111/120	PASS	llm=0	eval=0
2026-05-06T05:35:59.7316784-05:00	112/120	PASS	llm=0	eval=0
2026-05-06T05:40:21.1107636-05:00	113/120	PASS	llm=0	eval=0
2026-05-06T05:44:33.5053483-05:00	114/120	PASS	llm=0	eval=0
2026-05-06T05:48:39.7608479-05:00	115/120	PASS	llm=0	eval=0
2026-05-06T05:52:43.1298775-05:00	116/120	PASS	llm=0	eval=0
2026-05-06T05:56:40.3320670-05:00	117/120	PASS	llm=0	eval=0
2026-05-06T06:01:04.8565396-05:00	118/120	FAIL	Scenario suite exited with 1. See 'C:\LLMRPG\LoreLegacyMonsters\Artifacts\LlmConvo\unity-scenario-suite.log'
2026-05-06T06:05:05.1172766-05:00	119/120	PASS	llm=0	eval=0
2026-05-06T06:09:14.4350196-05:00	120/120	PASS	llm=0	eval=0
